categorie,zarma,haoussa,francais
salutations,Fofo,Sannu,Bonjour
salutations,Fonda kayan,Sannu da zuwa,Bienvenue
salutations,Mateno nigo?,Yaya kake?,Comment vas-tu ? (A un homme)
salutations,Mateno nigo?,Yaya kike?,Comment vas-tu ? (A une femme)
salutations,Banisamey wallah,Lafiya lawe,Je vais bien
salutations,Aysabou,Nagode,Merci
salutations,oh,Ee,Oui
salutations,A'a,A'a,Non
salutations,Alhanan,Hakuri,Pardon / Excuse-moi
salutations,Kalatonton,Sai an jima,Au revoir
salutations,Kalsoubah,Sai gobe,A demain
salutations,cino ma bori,Mou kon lafiya,Bonne nuit
salutations,Mateno nimayo,Sunanka/Sunanki?,Comment t'appelles-tu ?
salutations,Aymayo�,Sunana...,Je m'appelle...
salutations,Mangano nifounou,Ina gidan ku?,D'ouviens-tu ?
salutations,Niamey no ay founou,Na fito Niamey,Je viens de Niamey
salutations,Banisamey wallah alhamdoulilah,Lafiya lau,je vais bien (avec la grace de Dieu)
famille,Baaba,Uba,Pere
famille,Maama,Uwa,Mere
famille,Bereh,Yaya/wa (namiji),Frere
famille,Bereh,Yaya / ya(mace),Seur
famille,keyneh,Kanousa,Frere/soeur cadet(te)
famille,Izo / Izey,Diya,Enfant / Fils / Fille
famille,Ize arwaso,Da namiji,Fils
famille,Ize wandiya,Diya mace,Fille
famille,ay kayi,Kakana (namiji),Grand-pere
famille,ay kayi,Kakata (mace),Grand-mere
famille,kurgneh,Miji,Mari
famille,wande,Matar aure,epouse
famille,Famiyo ,Dangi,Famille
famille,Tchoro,Aboki,Ami / Proche
nombres,Afo,Daya,Un (1)
nombres,Ihinka,Biyu,Deux (2)
nombres,Ihinza,Uku,Trois (3)
nombres,Itaci,Hudu,Quatre (4)
nombres,Igu,Biyar,Cinq (5)
nombres,Iddu,Shida,Six (6)
nombres,Iyye,Bakwai,Sept (7)
nombres,Ihakku,Takwas,Huit (8)
nombres,iyaga,Tara,Neuf (9)
nombres,Iway,Goma,Dix (10)
nombres,Iway tchindi fo,Goma sha daya,Onze (11)
nombres,Iway tchindi hinka,Goma sha biyu,Douze (12)
nombres,Iway tchindi hinza,Goma sha uku,Treize (13)
nombres,Iway tchindi itaci,Goma sha hudu,Quatorze (14)
nombres,Iway tchindi igu,Goma sha biyar,Quinze (15)
nombres,Iway tchindi iddu,Goma sha shida,Seize (16)
nombres,Iway tchindi iyye,Goma sha bakwai,Dix-sept (17)
nombres,Iway tchindi ihakku,Goma sha takwas,Dix-huit (18)
nombres,Iway tchindi yega,Goma sha tara,Dix-neuf (19)
nombres,Waranka,Ashirin,Vingt (20)
nombres,Waranza,Talatin,Trente (30)
